Type,Term,Count
Phrase,καποια συστατικα,3
Phrase,λυθει προβλημα,3
Phrase,χρονια πολλα,3
Phrase,συνταγες εχουν,3
Phrase,ηθελα μαθω,3
Phrase,υπαρχει προβλημα,3
Phrase,google chrome,3
Phrase,του λογαριασμου,3
Phrase,μιας συνταγης,3
Phrase,προσπαθω περασω,3
Phrase,χωρις φπα,3
Phrase,κωδικο προσβασης,3
Phrase,πως εκτυπωσω,3
Phrase,μολις εκανα,3
Phrase,εκανα εγγραφη,3
Phrase,εχει ληξει,3
Phrase,reset password,3
Phrase,συνταγη ενω,3
Phrase,ποτε ληγει,3
Phrase,κανω αποθηκευση,3
Phrase,βαζω τιμη,3
Phrase,τιμη φπα,3
Phrase,φπα χωρις,3
Phrase,ξανα κανω,3
Phrase,add recipes,3
Phrase,recipes menu,3
Phrase,already registered,3
Phrase,του προγραμματος,3
Phrase,υλικα συνταγη,3
Phrase,μπορουμε κανουμε,3
Phrase,add new,3
Phrase,λιστα συνταγων,3
Phrase,ξεχασει κωδικο,3
Phrase,εχουν αλλαξει,3
Phrase,καθε φορα,3
Phrase,ρωτησω σχετικα,3
Phrase,trying register,3
Phrase,πεταει εξω,3
Phrase,email πως,3
Phrase,υπαρχει τροπος,3
Phrase,πως αποθηκευσω,3
