Session ID,Date,Customer Name,Customer Email,Status,CEO Participated,Last Customer Question,Last CEO Response,Full Transcript
session_84381854-56b2-47ff-998d-1fb6eea07e81,2025-12-01 14:10:37,visitor103775,,Pending/Open,Yes,θέλω να κοστολογηήσω μπουφέ 10 θέσεων σε ξενοδοχείο,Καλησπερα σας. Μπορειτε να κοστολογήσετε ότι μπει πανω στον μπουφε με το CostoMenu και να διαιρέσετε κατόπιν με τα ατομα για να βρειτε το κόστος ανα ατομο,"[Customer]: θέλω να κοστολογηήσω μπουφέ 10 θέσεων σε ξενοδοχείο
[CEO (Costo)]: Καλησπερα σας. Μπορειτε να κοστολογήσετε ότι μπει πανω στον μπουφε με το CostoMenu και να διαιρέσετε κατόπιν με τα ατομα για να βρειτε το κόστος ανα ατομο"
session_71ca3029-dc4c-4a05-bf60-3b10b65751a3,2025-11-24 09:18:05,visitor103454,,Pending/Open,Yes,Καλημέρα θέλω να κατεβάσω το πρόγραμμα δωρεάν και δεν με αφήνει γιατί,Καλημερα σας. Το CostoMenu δεν κατεβαίνει. Κάνετε εγγραφή στην σελίδα και κατοπιν λαμβάνετε ένα email ενεργοποίησης. Μετά συνδέεστε και το χρησιμοποιείτε. Επιλεξτε το beginner πακετο,"[Customer]: Καλημέρα θέλω να κατεβάσω το πρόγραμμα δωρεάν και δεν με αφήνει γιατί
[CEO (Costo)]: Καλημερα σας. Το CostoMenu δεν κατεβαίνει. Κάνετε εγγραφή στην σελίδα και κατοπιν λαμβάνετε ένα email ενεργοποίησης. Μετά συνδέεστε και το χρησιμοποιείτε. Επιλεξτε το beginner πακετο"
session_8cac81f4-d2e2-4363-b7a9-ef5b536a9707,2025-11-21 15:24:00,visitor103329,,Pending/Open,Yes,Is it possible to change the currency to Philippine peso?,The peso is already on,"[Customer]: Is it possible to change the currency to Philippine peso?
[CEO (Costo)]: We passed your message to our tech team and they will add the Philippine peso
[CEO (Costo)]: The peso is already on"
session_923f72e3-2edf-4356-9b3d-cdca2a29564a,2025-11-14 11:16:10,visitor103033,,Pending/Open,Yes,good morning i have my recipes on csv file format can your app load them ?,https://youtu.be/TaN5_Y5INv8?si=1JvNhISic0sIxdmS,"[Customer]: good morning i have my recipes on csv file format can your app load them ?
[CEO (Costo)]: Good morning. Unfortunately not. We have a partner that can manually input them for you if you feel its too much for you to do it yourself. The cost is 4 euros per recipe
[CEO (Costo)]: However is fairly easy to do it yourself. No need to create an ingredients list before you input your reciepes
[CEO (Costo)]: You can start dorectly with recipes and the ingredients will automatically be saved in your list
[CEO (Costo)]: Please check out this video
[CEO (Costo)]: https://youtu.be/TaN5_Y5INv8?si=1JvNhISic0sIxdmS"
session_e440fcfe-f9ae-4fa2-9a30-5b9ee87d7de1,2025-11-05 15:43:16,visitor102745,,Pending/Open,Yes,καλησπέρα έχω κάνει εγγραφή κι δεν με συνδέει μήπως έκανα κάτι λάθος,Δειτε και στα spam,"[Customer]: καλησπέρα έχω κάνει εγγραφή κι δεν με συνδέει μήπως έκανα κάτι λάθος
[CEO (Costo)]: Πρεπει να εχετε λαβει email ενεργοποιησης
[CEO (Costo)]: Δειτε και στα spam"
session_6f646e9c-a8c2-4a88-a8c9-9555d8dd7870,2025-10-28 02:26:04,visitor102444,,Pending/Open,Yes,πωσ το κανω αυτο ??,Διπλα απο το κουμπι του εξελ,"[Customer]: Στις αναφορες >συνταγες μου βγαζει κοστος παρασκευης σε ποσοστο αλλα οταν το περναω στο excel δεν το εμφανιζει καν
[Customer]: φτιαξτε το
[CEO (Costo)]: Μπορειτε να το βρειτε επισης αν σωσετε την αναφορα σε pdf
[CEO (Costo)]: Το ecxel το δουλευουμε ακομα
[Customer]: πωσ το κανω αυτο ??
[CEO (Costo)]: Αποθηκευση ως pdf
[CEO (Costo)]: Διπλα απο το κουμπι του εξελ"
session_bd2fd676-af96-420f-9427-fcba32bfe09e,2025-10-27 18:05:41,visitor102423,,Pending/Open,Yes,ΘΕΛΩ ΝΑ ΓΡΑΦΕΙ ΔΙΠΛΑ ΣΤΑ ΣΤΑΤΙΣΤΙΚΑ ΤΗΝ ΤΙΜΗ ΠΟΥ ΕΧΩ ΟΡΙΣΕΙ ΣΤΟ ΚΑΘΕ ΣΥΣΤΑΤΙΚΟ,"Όταν επιλεγετε σσυστατικό μεσα στη συνταγη, η τιμη του συστατικου εμφανιζεται","[Customer]: ΘΕΛΩ ΝΑ ΓΡΑΦΕΙ ΔΙΠΛΑ ΣΤΑ ΣΤΑΤΙΣΤΙΚΑ ΤΗΝ ΤΙΜΗ ΠΟΥ ΕΧΩ ΟΡΙΣΕΙ ΣΤΟ ΚΑΘΕ ΣΥΣΤΑΤΙΚΟ
[CEO (Costo)]: Που ακριβως;
[CEO (Costo)]: Όταν επιλεγετε σσυστατικό μεσα στη συνταγη, η τιμη του συστατικου εμφανιζεται"
session_ebe0f8e2-0f75-4676-ab59-54a44be7f2c6,2025-10-24 15:43:43,visitor102337,,Pending/Open,Yes,καλησπερα.,ΚΛησπερα,"[Customer]: καλησπερα.
[CEO (Costo)]: ΚΛησπερα"
session_d34e0fd7-8cbb-40f2-b6a4-e1e539abe76b,2025-10-23 15:34:08,visitor102296,,Pending/Open,Yes,Μπορουμε στη λιστα των συστατικων να γραψουμε διπλα την τιμη αγορας τους ;;,Εκει εμφανιζεται,"[Customer]: πως μπορει να μου εμφανιζετε εκτος απο το ποσο του κοστους αριθμο αλλα και επι τις 100(%) ;;
[CEO (Costo)]: Καλησπερα σας. Το κόστος σε ποσοστο εμφανιζεται στο διαγραμμα αν περασετε τον κέρσορα απο πάνω του. Επισης ειμαι το υπολοιπο απο το ποσοστο του μεικτου κέρδους. Αν δηλαδη το ποστοστο μεικτου κερδους ειναι 65% τότε το ποσοστο food cost είναι 35%
[Customer]: πως μπορεις να μου εμφανιζει στις αναφορες -> συνταγες το food cost σε ποσοστο (%)
[CEO (Costo)]: Το food cost σε ποσοστό φαινεται μεσα στη συνταγη κάτω απο το διαγραμμα πίτας (piechart)
[CEO (Costo)]: Δεν φαινεται στις αναφορες/ συνταγες
[CEO (Costo)]: Μιλήσαμε με την τεχνική ομάδα και θα το προσθεσει
[Customer]: okkk
[Customer]: αμεσα παρακαλω
[CEO (Costo)]: Καλημερα σας. Η προσθηκη που ζητήσατε είναι έτοιμη. Ευχαριστούμε που μας κάνετε καλύτερους
[Customer]: Μπορουμε στη λιστα των συστατικων να γραψουμε διπλα την τιμη αγορας τους ;;
[CEO (Costo)]: Μπορειτε να πατε στις αναφορες/συστατικα
[CEO (Costo)]: Εκει εμφανιζεται"
session_d2954f82-9762-4b35-96b1-7f80d731ced0,2025-10-14 19:36:32,visitor101954,,Pending/Open,Yes,ενταξει με την πρωτη ευκαιρια,Μπορειτε να μας καλεσετε στο 2104208731 να δούμε μαζι το προβλημα;,"[Customer]: Καλησπερα σας
[Customer]: το προγραμμα δυσκολευεται στην ανευρεση συστατικων
[CEO (Costo)]: Καλησπερα. Πως το ενοείτο;
[Customer]: εννοω ενω ξερω οτι εχω ενα συστατικο καταχωρημενο και ψαχνω την  τιμη του στην λιστα συστατικων ,δεν μου το βγαζει και πρεπει να ανατρεξω σε καποια συνταγη που θυμαμαι οτι το εμπεριεχει για να το βρω
[CEO (Costo)]: Δοκιμάστε να το ψαξετε απο τις αναφορες/συστατικα
[Customer]: στις αναφορες-συστατικα δεν εχει ευρεση , ειναι λιγο δυσκολο
[CEO (Costo)]: Δωστε μας λίγο χρόνο να δούμε την εύρεση και θα επανελθουμε. Θα σας απαντησουμε σε email ή τηλεφων.ο Μπορείτε να μας αποστείλετε ένα από τα δύο;
[Customer]: 6934186006
[Customer]: Γιωργος
[Customer]: Καλησπερα
[Customer]: Στις αναφορες οι πωλησεις F&B δεν μου λειτουργει
[Customer]: Ειναι υπο κατασκευη?
[CEO (Costo)]: Καλημερα σας. Λειτουργει κανονικα.
[CEO (Costo)]: Τι προβλημα παρουσιαζεται σε εσας;
[Customer]: Καλημερα , οταν παω να πατησω αποτελεσμα μου βγαζει το κοκκινο πινακακι που αναφερει ουπς προβλημα
[CEO (Costo)]: Μπορειτε να μας καλεσετε στο 2104208731 να δούμε μαζι το προβλημα;
[Customer]: ενταξει με την πρωτη ευκαιρια"
session_4ed3c0c3-46d2-4163-a8d3-9bb5981e2a89,2025-09-24 12:31:02,visitor101219,,Pending/Open,Yes,"на почту не пришло подтверждение, как зарегестрироваться?",Check in the spam emails,"[Customer]: на почту не пришло подтверждение, как зарегестрироваться?
[CEO (Costo)]: Check in the spam emails"
session_21adffbe-5ab8-4603-aa10-0b247f423ebc,2025-09-13 15:23:17,visitor100842,,Pending/Open,Yes,пустой excel,In English we can help you,"[Customer]: пустой excel
[CEO (Costo)]: In English we can help you"
session_8477bb58-7827-4b2b-91a5-4a007c2ec825,2025-09-08 19:09:59,visitor100629,,Pending/Open,Yes,ειδαλωσ ο μονος τροπος ειναι να μπω στα υλικα ενα ενα και να βλεπω τισ τιμες?,Αναφορές / συστατικα,"[Customer]: καλησπερα. θα ηθελα να ρωτησω εαν υπαρχει καποια επιλογη οσο αναφορα τα συστατικα να τα δω καπου ολα μαζι ή ισως να τα εκτυπωσω και να γραφει τιμες στα προιοντα
[Customer]: ειδαλωσ ο μονος τροπος ειναι να μπω στα υλικα ενα ενα και να βλεπω τισ τιμες?
[CEO (Costo)]: Καλησπερα σας
[CEO (Costo)]: Αναφορές / συστατικα"
session_72ae42a5-98c1-4a7d-be71-9a5b7b4b92f4,2025-09-05 16:12:18,visitor100513,,Pending/Open,Yes,"I can't save the sales results for today in excel. Again.....It unloads, but it doesn't allow you to open it (. Maybe you can tell me what's the matter?",We just did it and it works. Maybe there is something wrong with your excel.,"[Customer]: Hello!  I want to enter the products I have purchased (with prices, quantities, and purchase dates) into the app. Could you please tell me how to do this? Additionally, I would like to know how to record sales.
[CEO (Costo)]: Menu/ingredient list
[CEO (Costo)]: Or you can enter recipes and the ingredients and their prices will be automatically saved
[CEO (Costo)]: Please check the first video
[Customer]: I have items that do not require a recipe. For example, water and snacks. Can I enter an invoice with a list of many items from the supplier? Thank you
[CEO (Costo)]: Ok go to ingredients new ingredient
[Customer]: Ok? will try/ Thank you
[Customer]: And the second question is how to record sales? Can I do this online at the moment of sale?
[CEO (Costo)]: Are you on expert package?
[CEO (Costo)]: If yes. There are 2 reports there for you to record sales
[CEO (Costo)]: Menu engineering and Sales report
[Customer]: Ok. 
Thank you. I'll try to figure it out
[Customer]: Hello! I entered sales from September 08 to September 25, how can I save them in the app? Please tell me
[Customer]: Sorry: sales from today (September 8)
[Customer]: from September 8th
[CEO (Costo)]: Hi
The app lets you run sales reports at any time. Simply add the salea of the period you wish and run the report
[CEO (Costo)]: What is the purpose of saving every days sales? If its just for record keeping? Then you can use ecxel
[Customer]: Hi! Yes. I need to save the report for today in the app and tomorrow and so on every day. Is it possible?
[Customer]: Thank you. I got it
[CEO (Costo)]: You can save a menu rngineering report every day
[Customer]: How to do this? Just create a new menu? But it will not be tied to the date.
[CEO (Costo)]: You can add a date
[CEO (Costo)]: There is a save report buttot
[Customer]: I need to understand the current balance of ingredients daily, so I wanted to record sales in the application. How can I understand the current balance daily?
[CEO (Costo)]: You do an invemtory daily
[Customer]: yes
[CEO (Costo)]: You add the invoices and whats missing is your sales
[CEO (Costo)]: If you need to know money (coatomenu) can tell you your consumption in sales
[CEO (Costo)]: But if you want to know in ingredients then you need excel
[Customer]: Hello
[Customer]: Good evening! I can't save the sales results for today in excel. It unloads, but it doesn't allow you to open it (. Maybe you can tell me what's the matter?
[Customer]: Figured it out. Thanks
[CEO (Costo)]: Ok. Glad you found out how.
[Customer]: I can't save the sales results for today in excel. Again.....It unloads, but it doesn't allow you to open it (. Maybe you can tell me what's the matter?
[CEO (Costo)]: We just did it and it works. Maybe there is something wrong with your excel."
session_77467a7f-d4fa-4af8-a184-0f16b9961a94,2025-09-05 15:22:21,visitor100512,,Pending/Open,Yes,to a person who can take actions,Or tell us a time that you are available to contact you,"[CEO (Costo)]: We have sent you an activation mail
[CEO (Costo)]: Also check on spam
[Customer]: these are the only ones I have
[CEO (Costo)]: What is your email address that you used to register
[CEO (Costo)]: You should be ok now
[Customer]: cosmoscow@icloud.com
[CEO (Costo)]: Try now
[Customer]: I still have renewal is not allowed. is it okay?
[CEO (Costo)]: What about now?
[Customer]: the same story
[CEO (Costo)]: Can you turn off and on again
[Customer]: I don’t understand what website wants from me
[Customer]: thank you
[Customer]: it works now
[Customer]: i
[Customer]: I appreciate
[CEO (Costo)]: Oknot sure what happened
[Customer]: hello, I have an issue in program
[Customer]: I added ingredients in the list, and it’s fine
[Customer]: but when we make inventory it doesn’t reflect the correct numbers
[Customer]: this is from ingredient list and and it shows 0,27..€ per piece
[Customer]: but when we try to remove it from
[Customer]: inventory, it works wrong
[Customer]: could you tell me how to fix this issue?
[Customer]: we can see that I have 16 units , I try to remove 1 unit and shows me whole price of all 16 units
[Customer]: I would like to know how to remove ingredients by units according to know my current inventory
[CEO (Costo)]: Hi
[CEO (Costo)]: You buy this ingredient 4,41 E for a package of 16 correct?
[CEO (Costo)]: The inventory you count how many packages (of 16) you count.
[CEO (Costo)]: If you want to count  individual items you should say the cost of 1 item. Not the package of 16
[Customer]: hello
[Customer]: I need to talk to manager please
[Customer]: to a person who can take actions
[CEO (Costo)]: Hi would you like to contact us at +30 6973286811 whatsapp in two hours from now?
[CEO (Costo)]: Or tell us a time that you are available to contact you"
session_594ea438-7064-4573-aec0-f702475170b5,2025-07-14 21:33:22,visitor99072,,Pending/Open,Yes,ευχαριστώ!,Στη διαθεσή σας,"[Customer]: καλησπέρα, υπάρχει δυνατότητα φόρτωσης συστατικών για να περάσω εγώ μετά τιμές προμηθευτών; Αν όχι πρέπει να τα περάσω ενα ένα;
[CEO (Costo)]: Καλησπερα σας. Τα συστατικά και τις τιμές τους καταχωρούνται αυτόματα ενω δημιουργείτε τις συνταγες σας. Δεν χρειαζεται να κάνετε διπλή δουλειά
[CEO (Costo)]: Για λεπτομέρειες δείτε το video ""Εισαγωγή, καταχώρηση και κοστολόγηση συνταγων"" στην βοήθεια
[Customer]: ευχαριστώ!
[CEO (Costo)]: Χαρά μας
[CEO (Costo)]: Στη διαθεσή σας"
session_f7c14e02-ad5d-4504-abee-39602ddca89e,2025-07-07 17:26:35,visitor98830,,Pending/Open,Yes,ΕΥΧΑΡΙΣΤΩ ΠΟΛΥ,"Αν δηλαδή αγοράσατε 1 κιλο κοτόπουλο με 30 % φυρα για 4 ευρω το κιλο τότε πληρώσατε 4 ευρω για 700γρ. Αν ήταν ολόκληρο κιλό καθαρισμένο κοτόπουλο η τιμή κιλού θα ήταν 5,71 ευρω","[Customer]: καλησπερα
[CEO (Costo)]: Καλησπερα σας
[Customer]: ΚΑΛΗΣΠΕΡΑ, ΘΑ ΗΘΕΛΑ ΝΑ ΣΑΣ ΡΩΤΗΣΩ ΠΩΣ ΛΕΙΤΟΥΡΓΕΙ Η ΑΠΩΛΕΙΑ (ΦΥΡΑ)?
[Customer]: ΠΡΟΦΑΝΩΣ ΚΑΝΩ ΤΗΝ ΚΑΤΑΧΩΡΗΣΗ ΣΥΜΦΩΝΑ ΜΕ ΤΗ ΔΙΚΗ ΜΟΥ ΕΚΤΙΜΗΣΗ
[Customer]: ΣΤΗΝ ΤΙΜΗ ΠΩΣ ΓΙΝΕΤΑΙ Ο ΥΠΟΛΟΓΙΣΜΟΣ?
[CEO (Costo)]: Καλησπέρα σας. Υπολογίζεται νέα τιμή κιλού αφού αφαιρεθεί η φύρα
[CEO (Costo)]: Αν δηλαδή αγοράσατε 1 κιλο κοτόπουλο με 30 % φυρα για 4 ευρω το κιλο τότε πληρώσατε 4 ευρω για 700γρ. Αν ήταν ολόκληρο κιλό καθαρισμένο κοτόπουλο η τιμή κιλού θα ήταν 5,71 ευρω
[Customer]: ΕΥΧΑΡΙΣΤΩ ΠΟΛΥ"
session_1a8e1481-b20f-4d98-bd22-a4de39db7707,2025-06-26 14:59:52,visitor98549,,Pending/Open,Yes,s_mastorakos@hotmail.com,"Καλησπέρα σας, με ποιο email έχετε εγγραφει στην εφαρμογήω","[Customer]: Γειά σας. θα ήθελα να ρωτήσω πως μπορώ να αλλάξω το mail μου μέσα στο πρόγραμμα διοτί αυτό που είναι περασμένο δεν υπάρχει πλέον και δεν μπορώ καν να εχω πρόσβαση σε αυτό
[Customer]: παρακαλώ εάν μου απαντήσετε μέσω μαιλ επικοινωνήστε μαζί μου στο
[Customer]: s_mastorakos@hotmail.com
[CEO (Costo)]: Καλησπέρα σας, με ποιο email έχετε εγγραφει στην εφαρμογήω"
session_87dd5d50-83ab-4ddc-b1d1-8a05bd4d1dfe,2025-06-23 16:45:31,visitor98419,,Pending/Open,Yes,ΘΕΛΩ να κάνω μαζική εξαγωγή συνταγών σε excel από το iPhone,Pdf οχι excel,"[Customer]: ΘΕΛΩ να κάνω μαζική εξαγωγή συνταγών σε excel από το iPhone
[CEO (Costo)]: Μπορειτε
[CEO (Costo)]: Μεσα στις συνταγες
[CEO (Costo)]: Επιλεξτε να τις δειτε σε λιστα
[CEO (Costo)]: Κατοπιν επιλεγετε τις συνταγες τικαροντας μια μια
[CEO (Costo)]: Pdf οχι excel"
session_ccb94e4d-866c-46f6-97c1-8f2a2a993355,2025-06-17 20:29:34,visitor98198,,Pending/Open,Yes,kalhspera,Καλησπερα σας,"[Customer]: kalhspera
[CEO (Costo)]: Καλησπερα σας"
session_bcea907b-9e60-4c5c-b506-4437b565e97f,2025-06-05 22:02:27,visitor97774,,Pending/Open,Yes,Θα ήθελα να κάνω ανανέωση,Μπορείτε μέσα από τη σελίδα. Απλά πατήστε το κουμπί της ανανέωσης και ακολουθήστε τα βήματα,"[Customer]: Θα ήθελα να κάνω ανανέωση
[CEO (Costo)]: Μπορείτε μέσα από τη σελίδα. Απλά πατήστε το κουμπί της ανανέωσης και ακολουθήστε τα βήματα"
session_35581ad7-2397-4c37-8677-3cd858c9d87d,2025-06-03 12:16:07,visitor97655,,Pending/Open,Yes,θελω να χρησιμοποιήσω  το begginer,Μπορειτε να εγγραφειτε και να το χρησιμοποιήσετε δωρεαν,"[Customer]: θελω να χρησιμοποιήσω  το begginer
[CEO (Costo)]: Καλησπερα σας
[CEO (Costo)]: Μπορειτε να εγγραφειτε και να το χρησιμοποιήσετε δωρεαν"
session_635c2957-86a1-4da2-be55-235b009615da,2025-06-01 20:15:56,visitor97606,,Pending/Open,Yes,καλησπέρα δεν μπορώ να μπω,Εχετε κάνει εγγραφη και εχετε λάβει email ενεργοποίησης του λογαριασμου,"[Customer]: καλησπέρα δεν μπορώ να μπω
[CEO (Costo)]: Καλησπερα σας.
[CEO (Costo)]: Εχετε κάνει εγγραφη και εχετε λάβει email ενεργοποίησης του λογαριασμου"
session_b826e332-2df1-470d-a4c6-3f201078f8e1,2025-05-31 16:26:54,visitor97561,,Pending/Open,Yes,den mporo na patisw epanw stis suntages,Καλησπερα σας. Μπορειτε να μας καλεσετέ στο 210 4208731,"[Customer]: den mporo na patisw epanw stis suntages
[CEO (Costo)]: Καλησπερα σας. Μπορειτε να μας καλεσετέ στο 210 4208731"
session_a3ff81b5-29a2-4a1e-b883-1fcaf4a071ae,2025-05-30 15:30:49,visitor97523,,Pending/Open,Yes,δεν μπορώ να καταχωρίσω την συνταγή μου,https://youtu.be/v_5CRCOEg-A?si=pJd8xiBNQ19vyEA5,"[Customer]: πὼς καταχωρείται η συνταγή;
[Customer]: δεν μπορώ να καταχωρίσω την συνταγή μου
[CEO (Costo)]: Καλησπερα σας.
[CEO (Costo)]: Δείτε εδώ πως καταχωρείται με συνταγή
[CEO (Costo)]: https://youtu.be/v_5CRCOEg-A?si=pJd8xiBNQ19vyEA5"
session_2acd37c6-2b25-4a2d-a85c-15614952c287,2025-05-20 11:19:41,visitor96991,,Pending/Open,Yes,"καλημέρα , το τιμολόγιο πληρωμής πότε θα σταλθεί στο μέιλ ;",Καλησπερα σας. Ποιο είναι το αφμ σας;,"[Customer]: καλημέρα , το τιμολόγιο πληρωμής πότε θα σταλθεί στο μέιλ ;
[CEO (Costo)]: Καλησπερα σας. Ποιο είναι το αφμ σας;"
session_eea756f9-68b2-4ca3-a83c-0ccfc8d14b5b,2025-05-19 20:31:59,visitor96960,,Pending/Open,Yes,αλλαγή κωδικού,Μπορείτε να αλλαξετε τον κωδικό σας μέσα απο το προφιλ σας,"[Customer]: αλλαγή κωδικού
[CEO (Costo)]: Μπορείτε να αλλαξετε τον κωδικό σας μέσα απο το προφιλ σας"
session_ae63fc3b-8829-45ca-a6ea-d6106fd777f6,2025-05-18 10:17:01,visitor96863,,Pending/Open,Yes,"καλημερα , εχω φτιαξει μια υποσυνταγη ( κιμάς μιξ γάμου ) . Ενω τα γραμμαρια είναι σωστά στην τελική συνταγή μου βγάζει ένα αποτέλεσμα foodcost 442 ευρω για ένα μίνι burger .",Μιλουσαμε και εχθες στο τηλέφωνο;,"[Customer]: καλημερα , εχω φτιαξει μια υποσυνταγη ( κιμάς μιξ γάμου ) . Ενω τα γραμμαρια είναι σωστά στην τελική συνταγή μου βγάζει ένα αποτέλεσμα foodcost 442 ευρω για ένα μίνι burger .
[CEO (Costo)]: Μιλουσαμε και εχθες στο τηλέφωνο;"
session_2ec8a67d-ac6f-4c82-b55e-7acf9ff04087,2025-05-14 21:53:03,visitor96689,,Pending/Open,Yes,προσπαθώ να διαλέξω πρόγραμμα αλλά μου βγάζει λαθη,Εχετε κανει εγωραφη;,"[Customer]: προσπαθώ να διαλέξω πρόγραμμα αλλά μου βγάζει λαθη
[CEO (Costo)]: Εχετε κανει εγωραφη;"
session_d1746fa5-5845-42dd-afa5-2914d5b67e9c,2025-05-09 14:05:33,visitor96442,,Pending/Open,Yes,hello,How can we help,"[Customer]: hello
[CEO (Costo)]: Hi
[CEO (Costo)]: How can we help"
session_576d2732-c62f-4aa9-832e-80ae0f284fbb,2025-05-06 10:42:45,visitor96266,,Pending/Open,Yes,σας ευχαριστ'ω,Όλα ενταξει τελικα;,"[Customer]: Καλημέρα
[Customer]: προσπαθώ να μπω και δεν μπορώ
[Customer]: ενώ ενεργοποίησα τον λογαρισμό
[Customer]: είμαι οκ
[CEO (Costo)]: Όλα ενταξει τελικα;
[Customer]: Ναι μια χαρα
[Customer]: σας ευχαριστ'ω"
